#   ncyc_cp         Intensity      Esd(Int.)
   0.000e+00    9.9796713e+05  5.0000000e+03
   1.000e+00    7.6717109e+04  3.8615658e+02
   2.000e+00    8.2101424e+04  4.1115907e+02
   3.000e+00    8.7280752e+04  4.3715322e+02
   4.000e+00    9.3548747e+04  4.6524121e+02
   5.000e+00    9.9279554e+04  4.9827996e+02
   6.000e+00    1.0682526e+05  5.3360892e+02
   7.000e+00    1.1405603e+05  5.7169788e+02
   8.000e+00    1.2386263e+05  6.1597558e+02
   9.000e+00    1.3494303e+05  6.6928895e+02
   1.000e+01    1.4586938e+05  7.3267536e+02
   1.100e+01    1.5970584e+05  8.0575028e+02
   1.200e+01    1.7752447e+05  8.8736631e+02
   1.300e+01    1.9265404e+05  9.7587015e+02
   1.400e+01    2.1522145e+05  1.0696497e+03
   1.500e+01    2.3331598e+05  1.1669137e+03
   1.600e+01    2.5028943e+05  1.2662614e+03
   1.700e+01    2.7469786e+05  1.3661823e+03
   1.800e+01    2.9503959e+05  1.4656929e+03
   1.900e+01    3.1079626e+05  1.5636757e+03
   2.000e+01    3.3622984e+05  1.6595652e+03
   2.100e+01    3.5091189e+05  1.7526089e+03
   2.200e+01    3.7012725e+05  1.8425768e+03
   2.300e+01    3.8272763e+05  1.9290018e+03
   2.400e+01    4.0044494e+05  2.0118900e+03
   2.500e+01    4.1573640e+05  2.0909753e+03
   2.600e+01    4.2995810e+05  2.1664132e+03
   2.700e+01    4.4831575e+05  2.2380689e+03
   2.800e+01    4.6300868e+05  2.3061824e+03
   2.900e+01    4.7323301e+05  2.3706987e+03
   3.000e+01    4.8174755e+05  2.4318978e+03
   3.100e+01    5.0060389e+05  2.4897702e+03
   3.200e+01    5.0688536e+05  2.5446072e+03
   3.300e+01    5.2102716e+05  2.5964223e+03
   3.400e+01    5.3048139e+05  2.6455012e+03
   3.500e+01    5.3814398e+05  2.6918668e+03
   3.600e+01    5.4845208e+05  2.7357897e+03
   3.700e+01    5.5507454e+05  2.7772945e+03
   3.800e+01    5.6909763e+05  2.8166319e+03
   3.900e+01    5.6702451e+05  2.8538237e+03
   4.000e+01    5.7501737e+05  2.8890997e+03
   1.700e+01    2.7334323e+05  1.3661823e+03
   1.000e+01    1.4670510e+05  7.3267536e+02
   2.900e+01    4.7613285e+05  2.3706987e+03
