sim_id,case_id,field_file,B0_MHz,B0_T,J_IS,k_ex,p_B,dw_N,B1_N,tau_m,tau_e,S2,r_IS,r_eff,csa_N,theta_N_rad,theta_N_deg,I0,relative_esd,noise_enabled,seed,repeated_ncyc,valid_points,nonfinite_points,skipped_count,skipped_ncyc
0,0,Data/600MHz/sim_000000_1N-HN.out,600.0,14.091966957139045,0.0,300.0,0.05,1.0,5555.0,5e-09,5e-11,0.85,1.02e-10,1.86e-10,-0.00016,0.3839724354387525,22.0,1000000.0,0.005,True,1,36;40;62,40,0,0,
1,1,Data/600MHz/sim_000001_1N-HN.out,600.0,14.091966957139045,0.0,300.0,0.05,1.3571428571428572,5555.0,5e-09,5e-11,0.85,1.02e-10,1.86e-10,-0.00016,0.3839724354387525,22.0,1000000.0,0.005,True,1,44;66;74,40,0,0,
2,2,Data/600MHz/sim_000002_1N-HN.out,600.0,14.091966957139045,0.0,300.0,0.05,1.7142857142857144,5555.0,5e-09,5e-11,0.85,1.02e-10,1.86e-10,-0.00016,0.3839724354387525,22.0,1000000.0,0.005,True,1,10;48;30,40,0,0,
3,3,Data/600MHz/sim_000003_1N-HN.out,600.0,14.091966957139045,0.0,300.0,0.05,2.071428571428571,5555.0,5e-09,5e-11,0.85,1.02e-10,1.86e-10,-0.00016,0.3839724354387525,22.0,1000000.0,0.005,True,1,42;72;56,40,0,0,
4,4,Data/600MHz/sim_000004_1N-HN.out,600.0,14.091966957139045,0.0,300.0,0.05,2.428571428571429,5555.0,5e-09,5e-11,0.85,1.02e-10,1.86e-10,-0.00016,0.3839724354387525,22.0,1000000.0,0.005,True,1,4;30;12,40,0,0,
5,5,Data/600MHz/sim_000005_1N-HN.out,600.0,14.091966957139045,0.0,300.0,0.05,2.7857142857142856,5555.0,5e-09,5e-11,0.85,1.02e-10,1.86e-10,-0.00016,0.3839724354387525,22.0,1000000.0,0.005,True,1,12;8;38,40,0,0,
6,6,Data/600MHz/sim_000006_1N-HN.out,600.0,14.091966957139045,0.0,300.0,0.05,3.142857142857143,5555.0,5e-09,5e-11,0.85,1.02e-10,1.86e-10,-0.00016,0.3839724354387525,22.0,1000000.0,0.005,True,1,64;14;68,40,0,0,
7,7,Data/600MHz/sim_000007_1N-HN.out,600.0,14.091966957139045,0.0,300.0,0.05,3.5,5555.0,5e-09,5e-11,0.85,1.02e-10,1.86e-10,-0.00016,0.3839724354387525,22.0,1000000.0,0.005,True,1,16;64;50,40,0,0,
8,8,Data/600MHz/sim_000008_1N-HN.out,600.0,14.091966957139045,0.0,300.0,0.05,3.857142857142857,5555.0,5e-09,5e-11,0.85,1.02e-10,1.86e-10,-0.00016,0.3839724354387525,22.0,1000000.0,0.005,True,1,48;74;24,40,0,0,
9,9,Data/600MHz/sim_000009_1N-HN.out,600.0,14.091966957139045,0.0,300.0,0.05,4.214285714285714,5555.0,5e-09,5e-11,0.85,1.02e-10,1.86e-10,-0.00016,0.3839724354387525,22.0,1000000.0,0.005,True,1,46;38;4,40,0,0,
10,10,Data/600MHz/sim_000010_1N-HN.out,600.0,14.091966957139045,0.0,300.0,0.05,4.571428571428571,5555.0,5e-09,5e-11,0.85,1.02e-10,1.86e-10,-0.00016,0.3839724354387525,22.0,1000000.0,0.005,True,1,22;20;80,40,0,0,
11,11,Data/600MHz/sim_000011_1N-HN.out,600.0,14.091966957139045,0.0,300.0,0.05,4.928571428571429,5555.0,5e-09,5e-11,0.85,1.02e-10,1.86e-10,-0.00016,0.3839724354387525,22.0,1000000.0,0.005,True,1,48;4;78,40,0,0,
12,12,Data/600MHz/sim_000012_1N-HN.out,600.0,14.091966957139045,0.0,300.0,0.05,5.285714285714286,5555.0,5e-09,5e-11,0.85,1.02e-10,1.86e-10,-0.00016,0.3839724354387525,22.0,1000000.0,0.005,True,1,26;16;70,40,0,0,
13,13,Data/600MHz/sim_000013_1N-HN.out,600.0,14.091966957139045,0.0,300.0,0.05,5.642857142857143,5555.0,5e-09,5e-11,0.85,1.02e-10,1.86e-10,-0.00016,0.3839724354387525,22.0,1000000.0,0.005,True,1,72;66;2,40,0,0,
14,14,Data/600MHz/sim_000014_1N-HN.out,600.0,14.091966957139045,0.0,300.0,0.05,6.0,5555.0,5e-09,5e-11,0.85,1.02e-10,1.86e-10,-0.00016,0.3839724354387525,22.0,1000000.0,0.005,True,1,34;52;42,40,0,0,
15,15,Data/600MHz/sim_000015_1N-HN.out,600.0,14.091966957139045,0.0,300.0,0.052222222222222225,1.0,5555.0,5e-09,5e-11,0.85,1.02e-10,1.86e-10,-0.00016,0.3839724354387525,22.0,1000000.0,0.005,True,1,54;56;42,40,0,0,
16,16,Data/600MHz/sim_000016_1N-HN.out,600.0,14.091966957139045,0.0,300.0,0.052222222222222225,1.3571428571428572,5555.0,5e-09,5e-11,0.85,1.02e-10,1.86e-10,-0.00016,0.3839724354387525,22.0,1000000.0,0.005,True,1,2;46;12,40,0,0,
17,17,Data/600MHz/sim_000017_1N-HN.out,600.0,14.091966957139045,0.0,300.0,0.052222222222222225,1.7142857142857144,5555.0,5e-09,5e-11,0.85,1.02e-10,1.86e-10,-0.00016,0.3839724354387525,22.0,1000000.0,0.005,True,1,8;74;18,40,0,0,
18,18,Data/600MHz/sim_000018_1N-HN.out,600.0,14.091966957139045,0.0,300.0,0.052222222222222225,2.071428571428571,5555.0,5e-09,5e-11,0.85,1.02e-10,1.86e-10,-0.00016,0.3839724354387525,22.0,1000000.0,0.005,True,1,20;46;52,40,0,0,
19,19,Data/600MHz/sim_000019_1N-HN.out,600.0,14.091966957139045,0.0,300.0,0.052222222222222225,2.428571428571429,5555.0,5e-09,5e-11,0.85,1.02e-10,1.86e-10,-0.00016,0.3839724354387525,22.0,1000000.0,0.005,True,1,76;32;20,40,0,0,
20,20,Data/600MHz/sim_000020_1N-HN.out,600.0,14.091966957139045,0.0,300.0,0.052222222222222225,2.7857142857142856,5555.0,5e-09,5e-11,0.85,1.02e-10,1.86e-10,-0.00016,0.3839724354387525,22.0,1000000.0,0.005,True,1,48;28;18,40,0,0,
21,21,Data/600MHz/sim_000021_1N-HN.out,600.0,14.091966957139045,0.0,300.0,0.052222222222222225,3.142857142857143,5555.0,5e-09,5e-11,0.85,1.02e-10,1.86e-10,-0.00016,0.3839724354387525,22.0,1000000.0,0.005,True,1,50;42;80,40,0,0,
22,22,Data/600MHz/sim_000022_1N-HN.out,600.0,14.091966957139045,0.0,300.0,0.052222222222222225,3.5,5555.0,5e-09,5e-11,0.85,1.02e-10,1.86e-10,-0.00016,0.3839724354387525,22.0,1000000.0,0.005,True,1,54;10;62,40,0,0,
23,23,Data/600MHz/sim_000023_1N-HN.out,600.0,14.091966957139045,0.0,300.0,0.052222222222222225,3.857142857142857,5555.0,5e-09,5e-11,0.85,1.02e-10,1.86e-10,-0.00016,0.3839724354387525,22.0,1000000.0,0.005,True,1,20;14;18,40,0,0,
24,24,Data/600MHz/sim_000024_1N-HN.out,600.0,14.091966957139045,0.0,300.0,0.052222222222222225,4.214285714285714,5555.0,5e-09,5e-11,0.85,1.02e-10,1.86e-10,-0.00016,0.3839724354387525,22.0,1000000.0,0.005,True,1,64;38;80,40,0,0,
