#   ncyc_cp         Intensity      Esd(Int.)
   0.000e+00    1.0044036e+06  5.0000000e+03
   1.000e+00    3.4452212e+05  1.7164086e+03
   3.000e+00    3.3801198e+05  1.6973967e+03
   5.000e+00    3.5967369e+05  1.8027467e+03
   7.000e+00    3.7947272e+05  1.8996745e+03
   9.000e+00    3.8027382e+05  1.8931650e+03
   1.100e+01    3.8653409e+05  1.9237188e+03
   1.300e+01    3.8471824e+05  1.9307995e+03
   1.500e+01    3.8960626e+05  1.9372769e+03
   1.700e+01    3.9260522e+05  1.9686095e+03
   1.900e+01    4.0656282e+05  2.0271601e+03
   2.100e+01    4.2079326e+05  2.1056500e+03
   2.300e+01    4.3986551e+05  2.1957214e+03
   2.500e+01    4.6245239e+05  2.2906520e+03
   2.700e+01    4.7591566e+05  2.3857243e+03
   2.900e+01    4.9756736e+05  2.4779022e+03
   3.100e+01    5.1237787e+05  2.5653923e+03
   3.300e+01    5.3188759e+05  2.6472609e+03
   3.500e+01    5.4578912e+05  2.7231425e+03
   3.700e+01    5.5780504e+05  2.7930314e+03
   3.900e+01    5.6740869e+05  2.8571386e+03
   4.100e+01    5.8169475e+05  2.9157966e+03
   4.300e+01    5.9084304e+05  2.9693970e+03
   4.500e+01    6.0592908e+05  3.0183516e+03
   4.700e+01    6.1201456e+05  3.0630680e+03
   4.900e+01    6.2433901e+05  3.1039359e+03
   5.100e+01    6.2896383e+05  3.1413192e+03
   5.300e+01    6.3956407e+05  3.1755531e+03
   5.500e+01    6.4439986e+05  3.2069428e+03
   5.700e+01    6.4965711e+05  3.2357645e+03
   5.900e+01    6.5192336e+05  3.2622670e+03
   6.100e+01    6.5335700e+05  3.2866739e+03
   6.300e+01    6.6496873e+05  3.3091851e+03
   6.500e+01    6.6414501e+05  3.3299800e+03
   6.700e+01    6.6103248e+05  3.3492188e+03
   6.900e+01    6.7476382e+05  3.3670452e+03
   7.100e+01    6.7791317e+05  3.3835875e+03
   7.300e+01    6.7540630e+05  3.3989609e+03
   7.500e+01    6.8394444e+05  3.4132685e+03
   7.700e+01    6.8999105e+05  3.4266031e+03
   7.900e+01    6.8605448e+05  3.4390478e+03
   2.100e+01    4.2079008e+05  2.1056500e+03
   6.900e+01    6.7474581e+05  3.3670452e+03
   1.500e+01    3.8764172e+05  1.9372769e+03
