sim_id,case_id,field_file,B0_MHz,B0_T,J_IS,k_ex,p_B,dw_N,B1_N,tau_m,tau_e,S2,r_IS,r_eff,csa_N,theta_N_rad,theta_N_deg,I0,relative_esd,noise_enabled,seed,repeated_ncyc,valid_points,nonfinite_points,skipped_count,skipped_ncyc
0,0,Data/600MHz/sim_000000_1N-HN.out,600.0,14.091966957139045,92.0,300.0,0.05,1.0,5555.0,5e-09,5e-11,0.85,1.02e-10,1.86e-10,-0.00016,0.3839724354387525,22.0,1000000.0,0.005,True,1,35;39;61,40,0,0,
1,1,Data/600MHz/sim_000001_1N-HN.out,600.0,14.091966957139045,92.0,300.0,0.05,1.3571428571428572,5555.0,5e-09,5e-11,0.85,1.02e-10,1.86e-10,-0.00016,0.3839724354387525,22.0,1000000.0,0.005,True,1,43;65;73,40,0,0,
2,2,Data/600MHz/sim_000002_1N-HN.out,600.0,14.091966957139045,92.0,300.0,0.05,1.7142857142857144,5555.0,5e-09,5e-11,0.85,1.02e-10,1.86e-10,-0.00016,0.3839724354387525,22.0,1000000.0,0.005,True,1,9;47;29,40,0,0,
3,3,Data/600MHz/sim_000003_1N-HN.out,600.0,14.091966957139045,92.0,300.0,0.05,2.071428571428571,5555.0,5e-09,5e-11,0.85,1.02e-10,1.86e-10,-0.00016,0.3839724354387525,22.0,1000000.0,0.005,True,1,41;71;55,40,0,0,
4,4,Data/600MHz/sim_000004_1N-HN.out,600.0,14.091966957139045,92.0,300.0,0.05,2.428571428571429,5555.0,5e-09,5e-11,0.85,1.02e-10,1.86e-10,-0.00016,0.3839724354387525,22.0,1000000.0,0.005,True,1,3;29;11,40,0,0,
5,5,Data/600MHz/sim_000005_1N-HN.out,600.0,14.091966957139045,92.0,300.0,0.05,2.7857142857142856,5555.0,5e-09,5e-11,0.85,1.02e-10,1.86e-10,-0.00016,0.3839724354387525,22.0,1000000.0,0.005,True,1,11;7;37,40,0,0,
6,6,Data/600MHz/sim_000006_1N-HN.out,600.0,14.091966957139045,92.0,300.0,0.05,3.142857142857143,5555.0,5e-09,5e-11,0.85,1.02e-10,1.86e-10,-0.00016,0.3839724354387525,22.0,1000000.0,0.005,True,1,63;13;67,40,0,0,
7,7,Data/600MHz/sim_000007_1N-HN.out,600.0,14.091966957139045,92.0,300.0,0.05,3.5,5555.0,5e-09,5e-11,0.85,1.02e-10,1.86e-10,-0.00016,0.3839724354387525,22.0,1000000.0,0.005,True,1,15;63;49,40,0,0,
8,8,Data/600MHz/sim_000008_1N-HN.out,600.0,14.091966957139045,92.0,300.0,0.05,3.857142857142857,5555.0,5e-09,5e-11,0.85,1.02e-10,1.86e-10,-0.00016,0.3839724354387525,22.0,1000000.0,0.005,True,1,47;73;23,40,0,0,
9,9,Data/600MHz/sim_000009_1N-HN.out,600.0,14.091966957139045,92.0,300.0,0.05,4.214285714285714,5555.0,5e-09,5e-11,0.85,1.02e-10,1.86e-10,-0.00016,0.3839724354387525,22.0,1000000.0,0.005,True,1,45;37;3,40,0,0,
10,10,Data/600MHz/sim_000010_1N-HN.out,600.0,14.091966957139045,92.0,300.0,0.05,4.571428571428571,5555.0,5e-09,5e-11,0.85,1.02e-10,1.86e-10,-0.00016,0.3839724354387525,22.0,1000000.0,0.005,True,1,21;19;79,40,0,0,
11,11,Data/600MHz/sim_000011_1N-HN.out,600.0,14.091966957139045,92.0,300.0,0.05,4.928571428571429,5555.0,5e-09,5e-11,0.85,1.02e-10,1.86e-10,-0.00016,0.3839724354387525,22.0,1000000.0,0.005,True,1,47;3;77,40,0,0,
