#   ncyc_cp         Intensity      Esd(Int.)
   0.000e+00    1.0000000e+06  5.0000000e+03
   1.000e+00    5.3103528e+05  2.6551764e+03
   3.000e+00    5.6511865e+05  2.8255932e+03
   5.000e+00    6.1328809e+05  3.0664405e+03
   7.000e+00    6.5684703e+05  3.2842352e+03
   9.000e+00    6.8732281e+05  3.4366141e+03
   1.100e+01    7.0756190e+05  3.5378095e+03
   1.300e+01    7.2116276e+05  3.6058138e+03
   1.500e+01    7.3056453e+05  3.6528227e+03
   1.700e+01    7.3726467e+05  3.6863233e+03
   1.900e+01    7.4217720e+05  3.7108860e+03
   2.100e+01    7.4587153e+05  3.7293577e+03
   2.300e+01    7.4871223e+05  3.7435612e+03
   2.500e+01    7.5093946e+05  3.7546973e+03
   2.700e+01    7.5271572e+05  3.7635786e+03
   2.900e+01    7.5415370e+05  3.7707685e+03
   3.100e+01    7.5533337e+05  3.7766668e+03
   3.300e+01    7.5631257e+05  3.7815629e+03
   3.500e+01    7.5713397e+05  3.7856698e+03
   3.700e+01    7.5782952e+05  3.7891476e+03
   3.900e+01    7.5842354e+05  3.7921177e+03
   4.100e+01    7.5893478e+05  3.7946739e+03
   4.300e+01    7.5937787e+05  3.7968893e+03
   4.500e+01    7.5976435e+05  3.7988218e+03
   4.700e+01    7.6010346e+05  3.8005173e+03
   4.900e+01    7.6040260e+05  3.8020130e+03
   5.100e+01    7.6066780e+05  3.8033390e+03
   5.300e+01    7.6090401e+05  3.8045200e+03
   5.500e+01    7.6111529e+05  3.8055764e+03
   5.700e+01    7.6130503e+05  3.8065251e+03
   5.900e+01    7.6147606e+05  3.8073803e+03
   6.100e+01    7.6163076e+05  3.8081538e+03
   6.300e+01    7.6177115e+05  3.8088558e+03
   6.500e+01    7.6189894e+05  3.8094947e+03
   6.700e+01    7.6201560e+05  3.8100780e+03
   6.900e+01    7.6212239e+05  3.8106119e+03
   7.100e+01    7.6222039e+05  3.8111019e+03
   7.300e+01    7.6231054e+05  3.8115527e+03
   7.500e+01    7.6239366e+05  3.8119683e+03
   7.700e+01    7.6247047e+05  3.8123524e+03
   7.900e+01    7.6254160e+05  3.8127080e+03
