sim_id,B0_MHz,B0_T,J_IS,k_ex,p_B,dw_N,B1_N,tau_m,tau_e,S2,r_IS,r_eff,csa_N,theta_N_rad,theta_N_deg,valid_points,nonfinite_points,skipped_count,skipped_ncyc
0,600.0,14.091966957139045,92.0,300.0,0.05,1.0,5555.0,5e-09,5e-11,0.85,1.02e-10,1.86e-10,-0.00016,0.3839724354387525,22.0,40,0,0,
1,600.0,14.091966957139045,92.0,300.0,0.05,1.3571428571428572,5555.0,5e-09,5e-11,0.85,1.02e-10,1.86e-10,-0.00016,0.3839724354387525,22.0,40,0,0,
2,600.0,14.091966957139045,92.0,300.0,0.05,1.7142857142857144,5555.0,5e-09,5e-11,0.85,1.02e-10,1.86e-10,-0.00016,0.3839724354387525,22.0,40,0,0,
3,600.0,14.091966957139045,92.0,300.0,0.05,2.071428571428571,5555.0,5e-09,5e-11,0.85,1.02e-10,1.86e-10,-0.00016,0.3839724354387525,22.0,40,0,0,
4,600.0,14.091966957139045,92.0,300.0,0.05,2.428571428571429,5555.0,5e-09,5e-11,0.85,1.02e-10,1.86e-10,-0.00016,0.3839724354387525,22.0,40,0,0,
5,600.0,14.091966957139045,92.0,300.0,0.05,2.7857142857142856,5555.0,5e-09,5e-11,0.85,1.02e-10,1.86e-10,-0.00016,0.3839724354387525,22.0,40,0,0,
6,600.0,14.091966957139045,92.0,300.0,0.05,3.142857142857143,5555.0,5e-09,5e-11,0.85,1.02e-10,1.86e-10,-0.00016,0.3839724354387525,22.0,40,0,0,
7,600.0,14.091966957139045,92.0,300.0,0.05,3.5,5555.0,5e-09,5e-11,0.85,1.02e-10,1.86e-10,-0.00016,0.3839724354387525,22.0,40,0,0,
8,600.0,14.091966957139045,92.0,300.0,0.05,3.857142857142857,5555.0,5e-09,5e-11,0.85,1.02e-10,1.86e-10,-0.00016,0.3839724354387525,22.0,40,0,0,
9,600.0,14.091966957139045,92.0,300.0,0.05,4.214285714285714,5555.0,5e-09,5e-11,0.85,1.02e-10,1.86e-10,-0.00016,0.3839724354387525,22.0,40,0,0,
10,600.0,14.091966957139045,92.0,300.0,0.05,4.571428571428571,5555.0,5e-09,5e-11,0.85,1.02e-10,1.86e-10,-0.00016,0.3839724354387525,22.0,40,0,0,
11,600.0,14.091966957139045,92.0,300.0,0.05,4.928571428571429,5555.0,5e-09,5e-11,0.85,1.02e-10,1.86e-10,-0.00016,0.3839724354387525,22.0,40,0,0,
12,600.0,14.091966957139045,92.0,300.0,0.05,5.285714285714286,5555.0,5e-09,5e-11,0.85,1.02e-10,1.86e-10,-0.00016,0.3839724354387525,22.0,40,0,0,
13,600.0,14.091966957139045,92.0,300.0,0.05,5.642857142857143,5555.0,5e-09,5e-11,0.85,1.02e-10,1.86e-10,-0.00016,0.3839724354387525,22.0,40,0,0,
14,600.0,14.091966957139045,92.0,300.0,0.05,6.0,5555.0,5e-09,5e-11,0.85,1.02e-10,1.86e-10,-0.00016,0.3839724354387525,22.0,40,0,0,
15,600.0,14.091966957139045,92.0,300.0,0.052222222222222225,1.0,5555.0,5e-09,5e-11,0.85,1.02e-10,1.86e-10,-0.00016,0.3839724354387525,22.0,40,0,0,
16,600.0,14.091966957139045,92.0,300.0,0.052222222222222225,1.3571428571428572,5555.0,5e-09,5e-11,0.85,1.02e-10,1.86e-10,-0.00016,0.3839724354387525,22.0,40,0,0,
17,600.0,14.091966957139045,92.0,300.0,0.052222222222222225,1.7142857142857144,5555.0,5e-09,5e-11,0.85,1.02e-10,1.86e-10,-0.00016,0.3839724354387525,22.0,40,0,0,
18,600.0,14.091966957139045,92.0,300.0,0.052222222222222225,2.071428571428571,5555.0,5e-09,5e-11,0.85,1.02e-10,1.86e-10,-0.00016,0.3839724354387525,22.0,40,0,0,
19,600.0,14.091966957139045,92.0,300.0,0.052222222222222225,2.428571428571429,5555.0,5e-09,5e-11,0.85,1.02e-10,1.86e-10,-0.00016,0.3839724354387525,22.0,40,0,0,
20,600.0,14.091966957139045,92.0,300.0,0.052222222222222225,2.7857142857142856,5555.0,5e-09,5e-11,0.85,1.02e-10,1.86e-10,-0.00016,0.3839724354387525,22.0,40,0,0,
21,600.0,14.091966957139045,92.0,300.0,0.052222222222222225,3.142857142857143,5555.0,5e-09,5e-11,0.85,1.02e-10,1.86e-10,-0.00016,0.3839724354387525,22.0,40,0,0,
22,600.0,14.091966957139045,92.0,300.0,0.052222222222222225,3.5,5555.0,5e-09,5e-11,0.85,1.02e-10,1.86e-10,-0.00016,0.3839724354387525,22.0,40,0,0,
23,600.0,14.091966957139045,92.0,300.0,0.052222222222222225,3.857142857142857,5555.0,5e-09,5e-11,0.85,1.02e-10,1.86e-10,-0.00016,0.3839724354387525,22.0,40,0,0,
24,600.0,14.091966957139045,92.0,300.0,0.052222222222222225,4.214285714285714,5555.0,5e-09,5e-11,0.85,1.02e-10,1.86e-10,-0.00016,0.3839724354387525,22.0,40,0,0,
25,600.0,14.091966957139045,92.0,300.0,0.052222222222222225,4.571428571428571,5555.0,5e-09,5e-11,0.85,1.02e-10,1.86e-10,-0.00016,0.3839724354387525,22.0,40,0,0,
26,600.0,14.091966957139045,92.0,300.0,0.052222222222222225,4.928571428571429,5555.0,5e-09,5e-11,0.85,1.02e-10,1.86e-10,-0.00016,0.3839724354387525,22.0,40,0,0,
27,600.0,14.091966957139045,92.0,300.0,0.052222222222222225,5.285714285714286,5555.0,5e-09,5e-11,0.85,1.02e-10,1.86e-10,-0.00016,0.3839724354387525,22.0,40,0,0,
28,600.0,14.091966957139045,92.0,300.0,0.052222222222222225,5.642857142857143,5555.0,5e-09,5e-11,0.85,1.02e-10,1.86e-10,-0.00016,0.3839724354387525,22.0,40,0,0,
29,600.0,14.091966957139045,92.0,300.0,0.052222222222222225,6.0,5555.0,5e-09,5e-11,0.85,1.02e-10,1.86e-10,-0.00016,0.3839724354387525,22.0,40,0,0,
30,600.0,14.091966957139045,92.0,300.0,0.05444444444444445,1.0,5555.0,5e-09,5e-11,0.85,1.02e-10,1.86e-10,-0.00016,0.3839724354387525,22.0,40,0,0,
31,600.0,14.091966957139045,92.0,300.0,0.05444444444444445,1.3571428571428572,5555.0,5e-09,5e-11,0.85,1.02e-10,1.86e-10,-0.00016,0.3839724354387525,22.0,40,0,0,
32,600.0,14.091966957139045,92.0,300.0,0.05444444444444445,1.7142857142857144,5555.0,5e-09,5e-11,0.85,1.02e-10,1.86e-10,-0.00016,0.3839724354387525,22.0,40,0,0,
33,600.0,14.091966957139045,92.0,300.0,0.05444444444444445,2.071428571428571,5555.0,5e-09,5e-11,0.85,1.02e-10,1.86e-10,-0.00016,0.3839724354387525,22.0,40,0,0,
34,600.0,14.091966957139045,92.0,300.0,0.05444444444444445,2.428571428571429,5555.0,5e-09,5e-11,0.85,1.02e-10,1.86e-10,-0.00016,0.3839724354387525,22.0,40,0,0,
35,600.0,14.091966957139045,92.0,300.0,0.05444444444444445,2.7857142857142856,5555.0,5e-09,5e-11,0.85,1.02e-10,1.86e-10,-0.00016,0.3839724354387525,22.0,40,0,0,
36,600.0,14.091966957139045,92.0,300.0,0.05444444444444445,3.142857142857143,5555.0,5e-09,5e-11,0.85,1.02e-10,1.86e-10,-0.00016,0.3839724354387525,22.0,40,0,0,
37,600.0,14.091966957139045,92.0,300.0,0.05444444444444445,3.5,5555.0,5e-09,5e-11,0.85,1.02e-10,1.86e-10,-0.00016,0.3839724354387525,22.0,40,0,0,
38,600.0,14.091966957139045,92.0,300.0,0.05444444444444445,3.857142857142857,5555.0,5e-09,5e-11,0.85,1.02e-10,1.86e-10,-0.00016,0.3839724354387525,22.0,40,0,0,
39,600.0,14.091966957139045,92.0,300.0,0.05444444444444445,4.214285714285714,5555.0,5e-09,5e-11,0.85,1.02e-10,1.86e-10,-0.00016,0.3839724354387525,22.0,40,0,0,
40,600.0,14.091966957139045,92.0,300.0,0.05444444444444445,4.571428571428571,5555.0,5e-09,5e-11,0.85,1.02e-10,1.86e-10,-0.00016,0.3839724354387525,22.0,40,0,0,
