#   ncyc_cp         Intensity      Esd(Int.)
   0.000e+00    1.0000000e+06  5.0000000e+03
   1.000e+00    2.8475852e+05  1.4237926e+03
   3.00e+00    3.1000627e+05  1.5500314e+03
   5.000e+00    3.9090623e+05  1.9545312e+03
   7.000e+00    4.6340624e+05  2.3170312e+03
   9.000e+00    5.1373516e+05  2.5686758e+03
   1.100e+01    5.4735235e+05  2.7367617e+03
   1.300e+01    5.7011984e+05  2.8505992e+03
   1.500e+01    5.8591143e+05  2.9295572e+03
   1.700e+01    5.9721644e+05  2.9860822e+03
   1.900e+01    6.0553754e+05  3.0276877e+03
   2.100e+01    6.1180231e+05  3.0590116e+03
   2.300e+01    6.1661528e+05  3.0830764e+03
   2.500e+01    6.2039234e+05  3.1019617e+03
   2.700e+01    6.2340356e+05  3.1170178e+03
   2.900e+01    6.2584511e+05  3.1292256e+03
   3.100e+01    6.2786435e+05  3.1393217e+03
   3.300e+01    6.2954751e+05  3.1477376e+03
   3.500e+01    6.3096357e+05  3.1548179e+03
   3.700e+01    6.3216353e+05  3.1608176e+03
   3.900e+01    6.3318526e+05  3.1659263e+03
   4.100e+01    6.3406233e+05  3.1703117e+03
   4.300e+01    6.3481525e+05  3.1740763e+03
   4.500e+01    6.3547020e+05  3.1773510e+03
   4.700e+01    6.3604535e+05  3.1802267e+03
   4.900e+01    6.3655610e+05  3.1827805e+03
   5.100e+01    6.3701356e+05  3.1850678e+03
   5.300e+01    6.3742491e+05  3.1871246e+03
   5.500e+01    6.3779559e+05  3.1889779e+03
   5.700e+01    6.3813101e+05  3.1906551e+03
   5.900e+01    6.3843516e+05  3.1921758e+03
   6.100e+01    6.3871161e+05  3.1935580e+03
   6.300e+01    6.3896356e+05  3.1948178e+03
   6.500e+01    6.3919357e+05  3.1959679e+03
   6.700e+01    6.3940439e+05  3.1970219e+03
   6.900e+01    6.3959812e+05  3.1979906e+03
   7.100e+01    6.3977652e+05  3.1988826e+03
   7.300e+01    6.3994132e+05  3.1997066e+03
   7.500e+01    6.4009351e+05  3.2004675e+03
   7.700e+01    6.4023419e+05  3.2011709e+03
   7.900e+01    6.4036413e+05  3.2018206e+03
