[1N]
#         NCYC   INTENSITY (EXP)       ERROR (EXP)  INTENSITY (CALC)
             0    1.00721680e+06    5.00000000e+03    1.00722305e+06 
             1    4.34801840e+05    2.17905120e+03    4.34182347e+05 
             3    4.44321970e+05    2.22011060e+03    4.46402412e+05 
             5    4.64826730e+05    2.32355040e+03    4.65723365e+05 
             7    5.06430510e+05    2.52967000e+03    5.06060398e+05 
             9    5.51258970e+05    2.76438620e+03    5.53072490e+05 
            11    5.92367250e+05    2.96262560e+03    5.92787905e+05 
            13    6.23255560e+05    3.11542520e+03    6.23317813e+05 
            15    6.47975160e+05    3.23055060e+03    6.46255333e+05 
            17    6.64443460e+05    3.31746500e+03    6.63530098e+05 
            19    6.74533250e+05    3.38382240e+03    6.76693091e+05 
            21    6.88098060e+05    3.43521630e+03    6.86871816e+05 
            23    6.96510930e+05    3.47561720e+03    6.94863334e+05 
            25    7.05742840e+05    3.50783480e+03    7.01229831e+05 
            27    7.06149050e+05    3.53387280e+03    7.06371086e+05 
            29    7.11474500e+05    3.55517690e+03    7.10574947e+05 
            31    7.13502940e+05    3.57280460e+03    7.14051586e+05 
            33    7.21646460e+05    3.58754020e+03    7.16956656e+05 
            35    7.16782950e+05    3.59997340e+03    7.19407037e+05 
            37    7.21772670e+05    3.61055340e+03    7.21491656e+05 
            39    7.26432890e+05    3.61962640e+03    7.23279013e+05 
            41    7.25817290e+05    3.62746250e+03    7.24822483e+05 
            43    7.32292290e+05    3.63427450e+03    7.26164108e+05 
            45    7.31624290e+05    3.64023180e+03    7.27337332e+05 
            47    7.22397800e+05    3.64547050e+03    7.28369011e+05 
            49    7.27609980e+05    3.65010080e+03    7.29280895e+05 
            51    7.31820480e+05    3.65421280e+03    7.30090743e+05 
            53    7.32780910e+05    3.65788060e+03    7.30813161e+05 
            55    7.35705930e+05    3.66116560e+03    7.31460250e+05 
            57    7.31434950e+05    3.66411910e+03    7.32042099e+05 
            59    7.32627240e+05    3.66678400e+03    7.32567172e+05 
            61    7.31756220e+05    3.66919660e+03    7.33042611e+05 
            63    7.33008130e+05    3.67138760e+03    7.33474473e+05 
            65    7.25690200e+05    3.67338330e+03    7.33867924e+05 
            67    7.36096660e+05    3.67520620e+03    7.34227389e+05 
            69    7.35210160e+05    3.67687570e+03    7.34556677e+05 
            71    7.30310840e+05    3.67840830e+03    7.34859079e+05 
            73    7.31174770e+05    3.67981880e+03    7.35137450e+05 
            75    7.35507600e+05    3.68111970e+03    7.35394280e+05 
            77    7.32753570e+05    3.68232210e+03    7.35631742e+05 
            79    7.32390650e+05    3.68343560e+03    7.35851746e+05 
            69    7.30136280e+05    3.67687570e+03    7.34556677e+05 
            31    7.19181710e+05    3.57280460e+03    7.14051586e+05 
             9    5.54701010e+05    2.76438620e+03    5.53072490e+05 

